len(N),E,ns
 11,  4,      14.0
 11,  5,      15.7
 11,  6,      27.4
 11,  7,      30.2
 11,  8,      33.2
 11,  9,      30.3
 11, 10,      30.4
 11, 11,      29.8
 11, 12,      29.4
 11, 13,      30.2
 11, 14,      29.8
 11, 15,      29.4
 11, 16,      30.3
 11, 17,      29.8
 11, 18,      29.5
 11, 19,      30.3
 11, 20,      29.9
 12,-20,      29.3
 12,-19,      28.9
 12,-18,      26.9
 12,-17,      26.5
 12,-16,      27.6
 12,-15,      27.0
 12,-14,      26.5
 12,-13,      27.6
 12,-12,      27.0
 12,-11,      27.8
 12,-10,      29.1
 12, -9,      28.6
 12, -8,      27.4
 12, -7,      28.7
 12, -6,      27.9
 12, -5,      27.3
 12, -4,      28.8
 12, -3,      28.0
 12, -2,      27.6
 12, -1,      29.5
 12,  0,      12.9
 12,  1,      13.8
 12,  2,      13.4
 12,  3,      14.0
 12,  4,      15.7
 12,  5,      27.2
 12,  6,      32.0
 12,  7,      32.5
 12,  8,      29.3
 12,  9,      29.6
 12, 10,      28.9
 12, 11,      28.5
 12, 12,      29.4
 12, 13,      28.9
 12, 14,      28.4
 12, 15,      29.4
 12, 16,      29.0
 12, 17,      28.5
 12, 18,      29.5
 12, 19,      29.0
 12, 20,      28.5
 13,-20,      29.8
 13,-19,      27.8
 13,-18,      27.4
 13,-17,      28.5
 13,-16,      27.9
 13,-15,      27.4
 13,-14,      28.6
 13,-13,      27.9
 13,-12,      28.7
 13,-11,      29.6
 13,-10,      29.2
 13, -9,      28.6
 13, -8,      29.6
 13, -7,      29.0
 13, -6,      28.6
 13, -5,      29.5
 13, -4,      29.0
 13, -3,      28.5
 13, -2,      29.6
 13, -1,      29.4
 13,  0,      13.8
 13,  1,      13.3
 13,  2,      14.0
 13,  3,      15.7
 13,  4,      28.8
 13,  5,      33.9
 13,  6,      33.2
 13,  7,      30.1
 13,  8,      30.2
 13,  9,      29.5
 13, 10,      29.2
 13, 11,      30.0
 13, 12,      29.6
 13, 13,      29.2
 13, 14,      30.1
 13, 15,      29.6
 13, 16,      29.3
 13, 17,      30.2
 13, 18,      29.8
 13, 19,      29.3
 13, 20,      30.2
 14,-20,      26.9
 14,-19,      26.4
 14,-18,      27.4
 14,-17,      27.1
 14,-16,      26.4
 14,-15,      27.5
 14,-14,      27.0
 14,-13,      27.8
 14,-12,      28.7
 14,-11,      28.3
 14,-10,      27.5
 14, -9,      28.5
 14, -8,      28.1
 14, -7,      27.8
 14, -6,      28.5
 14, -5,      28.0
 14, -4,      27.6
 14, -3,      28.6
 14, -2,      28.2
 14, -1,      28.2
 14,  0,      13.4
 14,  1,      13.9
 14,  2,      15.6
 14,  3,      30.6
 14,  4,      33.5
 14,  5,      32.7
 14,  6,      29.0
 14,  7,      29.2
 14,  8,      28.4
 14,  9,      28.0
 14, 10,      28.9
 14, 11,      28.4
 14, 12,      28.1
 14, 13,      28.9
 14, 14,      28.5
 14, 15,      28.1
 14, 16,      29.0
 14, 17,      28.5
 14, 18,      28.1
 14, 19,      29.1
 14, 20,      28.6
 15,-20,      27.7
 15,-19,      28.9
 15,-18,      28.2
 15,-17,      27.7
 15,-16,      28.9
 15,-15,      28.2
 15,-14,      28.9
 15,-13,      29.8
 15,-12,      29.6
 15,-11,      29.1
 15,-10,      29.8
 15, -9,      29.7
 15, -8,      28.9
 15, -7,      29.9
 15, -6,      29.3
 15, -5,      29.0
 15, -4,      29.9
 15, -3,      29.4
 15, -2,      29.1
 15, -1,      30.5
 15,  0,      14.0
 15,  1,      16.0
 15,  2,      32.7
 15,  3,      33.8
 15,  4,      33.1
 15,  5,      30.1
 15,  6,      30.2
 15,  7,      29.7
 15,  8,      29.3
 15,  9,      30.1
 15, 10,      29.6
 15, 11,      29.4
 15, 12,      30.1
 15, 13,      29.7
 15, 14,      29.4
 15, 15,      30.2
 15, 16,      29.7
 15, 17,      29.4
 15, 18,      30.2
 15, 19,      29.8
 15, 20,      29.5
 16,-20,      28.3
 16,-19,      27.5
 16,-18,      27.2
 16,-17,      28.4
 16,-16,      27.5
 16,-15,      28.3
 16,-14,      29.2
 16,-13,      28.4
 16,-12,      29.6
 16,-11,      29.2
 16,-10,      28.8
 16, -9,      28.2
 16, -8,      29.1
 16, -7,      28.3
 16, -6,      27.7
 16, -5,      29.6
 16, -4,      28.4
 16, -3,      27.9
 16, -2,      30.5
 16, -1,      32.7
 16,  0,      16.0
 16,  1,      32.6
 16,  2,      33.6
 16,  3,      32.7
 16,  4,      29.5
 16,  5,      29.8
 16,  6,      28.8
 16,  7,      28.6
 16,  8,      29.9
 16,  9,      29.3
 16, 10,      28.6
 16, 11,      29.7
 16, 12,      29.0
 16, 13,      28.6
 16, 14,      31.6
 16, 15,      29.0
 16, 16,      28.7
 16, 17,      29.8
 16, 18,      29.0
 16, 19,      28.6
 16, 20,      30.7
 17,-20,      28.9
 17,-19,      29.0
 17,-18,      29.6
 17,-17,      29.1
 17,-16,      29.8
 17,-15,      30.4
 17,-14,      29.9
 17,-13,      29.7
 17,-12,      30.5
 17,-11,      30.0
 17,-10,      29.7
 17, -9,      30.4
 17, -8,      29.6
 17, -7,      29.4
 17, -6,      30.5
 17, -5,      29.8
 17, -4,      29.7
 17, -3,      31.7
 17, -2,      32.1
 17, -1,      22.5
 17,  0,      34.5
 17,  1,      36.3
 17,  2,      34.7
 17,  3,      31.4
 17,  4,      31.1
 17,  5,      30.4
 17,  6,      30.8
 17,  7,      31.2
 17,  8,      30.4
 17,  9,      30.4
 17, 10,      31.0
 17, 11,      30.5
 17, 12,      30.4
 17, 13,      31.1
 17, 14,      30.4
 17, 15,      30.4
 17, 16,      31.1
 17, 17,      30.5
 17, 18,      30.3
 17, 19,      31.2
 17, 20,      30.7
 18,-20,      28.9
 18,-19,      29.7
 18,-18,      29.1
 18,-17,      29.8
 18,-16,      30.4
 18,-15,      30.0
 18,-14,      29.6
 18,-13,      30.5
 18,-12,      30.0
 18,-11,      29.8
 18,-10,      30.3
 18, -9,      29.7
 18, -8,      29.4
 18, -7,      30.4
 18, -6,      29.8
 18, -5,      29.6
 18, -4,      32.0
 18, -3,      32.1
 18, -2,      22.5
 18, -1,      34.5
 18,  0,      36.1
 18,  1,      34.7
 18,  2,      31.3
 18,  3,      31.0
 18,  4,      30.4
 18,  5,      30.4
 18,  6,      31.0
 18,  7,      30.4
 18,  8,      30.4
 18,  9,      31.0
 18, 10,      30.3
 18, 11,      30.4
 18, 12,      31.1
 18, 13,      30.4
 18, 14,      30.3
 18, 15,      31.1
 18, 16,      30.5
 18, 17,      30.3
 18, 18,      31.2
 18, 19,      30.6
 18, 20,      30.3
