len(N),E,ns
 10, 13 ,      21.4
 10, 14 ,      22.6
 10, 15 ,      22.6
 10, 16 ,      21.2
 10, 17 ,      22.5
 10, 18 ,      22.6
 10, 19 ,      21.1
 10, 20 ,      22.4
 11,-20 ,      21.9
 11,-19 ,      20.4
 11,-18 ,      21.9
 11,-17 ,      20.5
 11,-16 ,      18.6
 11,-15 ,      20.6
 11,-14 ,      20.4
 11,-13 ,      18.4
 11,-12 ,      20.2
 11,-11 ,      20.6
 11,-10 ,      18.8
 11, -9 ,      20.4
 11, -8 ,      21.1
 11, -7 ,      18.4
 11, -6 ,      20.1
 11, -5 ,      21.0
 11, -4 ,      18.2
 11, -3 ,      19.9
 11, -2 ,      21.0
 11, -1 ,      18.0
 11,  0 ,      11.9
 11,  1 ,      11.1
 11,  2 ,      11.3
 11,  3 ,      11.6
 11,  4 ,      11.5
 11,  5 ,      12.7
 11,  6 ,      19.2
 11,  7 ,      20.6
 11,  8 ,      23.1
 11,  9 ,      21.7
 11, 10 ,      22.6
 11, 11 ,      22.5
 11, 12 ,      21.6
 11, 13 ,      22.6
 11, 14 ,      22.5
 11, 15 ,      21.2
 11, 16 ,      22.5
 11, 17 ,      22.7
 11, 18 ,      21.0
 11, 19 ,      22.5
 11, 20 ,      22.7
 12,-20 ,      20.4
 12,-19 ,      22.1
 12,-18 ,      20.2
 12,-17 ,      18.4
 12,-16 ,      20.2
 12,-15 ,      20.2
 12,-14 ,      18.2
 12,-13 ,      20.1
 12,-12 ,      20.3
 12,-11 ,      18.9
 12,-10 ,      21.1
 12, -9 ,      21.7
 12, -8 ,      18.7
 12, -7 ,      20.7
 12, -6 ,      21.7
 12, -5 ,      18.5
 12, -4 ,      20.5
 12, -3 ,      21.7
 12, -2 ,      18.2
 12, -1 ,      20.3
 12,  0 ,      11.1
 12,  1 ,      11.3
 12,  2 ,      11.6
 12,  3 ,      12.8
 12,  4 ,      12.8
 12,  5 ,      19.2
 12,  6 ,      23.1
 12,  7 ,      23.1
 12,  8 ,      21.6
 12,  9 ,      22.8
 12, 10 ,      22.7
 12, 11 ,      21.4
 12, 12 ,      22.6
 12, 13 ,      22.8
 12, 14 ,      21.3
 12, 15 ,      22.5
 12, 16 ,      22.9
 12, 17 ,      21.0
 12, 18 ,      22.5
 12, 19 ,      22.9
 12, 20 ,      20.9
 13,-20 ,      22.6
 13,-19 ,      20.8
 13,-18 ,      19.4
 13,-17 ,      20.9
 13,-16 ,      20.6
 13,-15 ,      19.2
 13,-14 ,      20.8
 13,-13 ,      20.8
 13,-12 ,      19.7
 13,-11 ,      21.5
 13,-10 ,      22.0
 13, -9 ,      19.6
 13, -8 ,      21.3
 13, -7 ,      22.0
 13, -6 ,      19.4
 13, -5 ,      21.2
 13, -4 ,      22.3
 13, -3 ,      19.2
 13, -2 ,      21.0
 13, -1 ,      22.1
 13,  0 ,      11.4
 13,  1 ,      11.6
 13,  2 ,      12.8
 13,  3 ,      13.8
 13,  4 ,      19.2
 13,  5 ,      24.1
 13,  6 ,      23.0
 13,  7 ,      22.2
 13,  8 ,      23.1
 13,  9 ,      22.9
 13, 10 ,      22.0
 13, 11 ,      23.1
 13, 12 ,      23.0
 13, 13 ,      21.9
 13, 14 ,      23.0
 13, 15 ,      23.0
 13, 16 ,      21.7
 13, 17 ,      22.9
 13, 18 ,      23.1
 13, 19 ,      21.5
 13, 20 ,      22.8
 14,-20 ,      20.8
 14,-19 ,      19.3
 14,-18 ,      20.9
 14,-17 ,      20.7
 14,-16 ,      19.2
 14,-15 ,      20.7
 14,-14 ,      20.7
 14,-13 ,      19.7
 14,-12 ,      21.4
 14,-11 ,      22.0
 14,-10 ,      19.6
 14, -9 ,      21.3
 14, -8 ,      21.9
 14, -7 ,      19.4
 14, -6 ,      21.1
 14, -5 ,      22.0
 14, -4 ,      19.2
 14, -3 ,      20.9
 14, -2 ,      22.0
 14, -1 ,      19.0
 14,  0 ,      11.6
 14,  1 ,      12.7
 14,  2 ,      13.8
 14,  3 ,      20.9
 14,  4 ,      23.8
 14,  5 ,      22.9
 14,  6 ,      22.2
 14,  7 ,      23.1
 14,  8 ,      22.9
 14,  9 ,      22.0
 14, 10 ,      23.0
 14, 11 ,      23.0
 14, 12 ,      21.9
 14, 13 ,      23.0
 14, 14 ,      23.1
 14, 15 ,      21.8
 14, 16 ,      22.9
 14, 17 ,      23.1
 14, 18 ,      21.8
 14, 19 ,      22.8
 14, 20 ,      23.2
 15,-20 ,      19.3
 15,-19 ,      20.9
 15,-18 ,      20.7
 15,-17 ,      19.2
 15,-16 ,      20.8
 15,-15 ,      20.7
 15,-14 ,      19.7
 15,-13 ,      21.4
 15,-12 ,      22.0
 15,-11 ,      19.6
 15,-10 ,      21.3
 15, -9 ,      22.0
 15, -8 ,      19.4
 15, -7 ,      21.1
 15, -6 ,      22.0
 15, -5 ,      19.2
 15, -4 ,      21.0
 15, -3 ,      23.2
 15, -2 ,      19.6
 15, -1 ,      20.8
 15,  0 ,      12.6
 15,  1 ,      14.1
 15,  2 ,      21.8
 15,  3 ,      23.5
 15,  4 ,      22.9
 15,  5 ,      22.1
 15,  6 ,      23.1
 15,  7 ,      22.9
 15,  8 ,      22.0
 15,  9 ,      23.1
 15, 10 ,      23.0
 15, 11 ,      21.9
 15, 12 ,      23.0
 15, 13 ,      23.1
 15, 14 ,      21.8
 15, 15 ,      22.9
 15, 16 ,      23.1
 15, 17 ,      21.6
 15, 18 ,      22.8
 15, 19 ,      23.2
 15, 20 ,      21.4
 16,-20 ,      21.7
 16,-19 ,      23.0
 16,-18 ,      19.7
 16,-17 ,      21.6
 16,-16 ,      23.0
 16,-15 ,      20.0
 16,-14 ,      22.0
 16,-13 ,      26.0
 16,-12 ,      19.7
 16,-11 ,      21.7
 16,-10 ,      23.2
 16, -9 ,      19.5
 16, -8 ,      21.4
 16, -7 ,      23.1
 16, -6 ,      19.2
 16, -5 ,      21.3
 16, -4 ,      23.0
 16, -3 ,      19.1
 16, -2 ,      21.2
 16, -1 ,      25.2
 16,  0 ,      14.2
 16,  1 ,      23.2
 16,  2 ,      25.4
 16,  3 ,      25.2
 16,  4 ,      22.6
 16,  5 ,      24.6
 16,  6 ,      25.3
 16,  7 ,      22.3
 16,  8 ,      24.5
 16,  9 ,      25.3
 16, 10 ,      22.2
 16, 11 ,      24.3
 16, 12 ,      25.3
 16, 13 ,      22.0
 16, 14 ,      24.0
 16, 15 ,      25.3
 16, 16 ,      21.8
 16, 17 ,      23.7
 16, 18 ,      25.3
 16, 19 ,      21.7
 16, 20 ,      23.5
 17,-20 ,      24.5
 17,-19 ,      24.3
 17,-18 ,      25.4
 17,-17 ,      24.7
 17,-16 ,      24.7
 17,-15 ,      25.8
 17,-14 ,      25.1
 17,-13 ,      24.0
 17,-12 ,      25.7
 17,-11 ,      25.3
 17,-10 ,      24.0
 17, -9 ,      25.7
 17, -8 ,      25.3
 17, -7 ,      23.1
 17, -6 ,      25.7
 17, -5 ,      25.4
 17, -4 ,      22.7
 17, -3 ,      25.8
 17, -2 ,      26.2
 17, -1 ,      18.3
 17,  0 ,      26.9
 17,  1 ,      27.2
 17,  2 ,      26.2
 17,  3 ,      27.0
 17,  4 ,      27.0
 17,  5 ,      26.3
 17,  6 ,      27.0
 17,  7 ,      27.1
 17,  8 ,      26.3
 17,  9 ,      26.8
 17, 10 ,      27.2
 17, 11 ,      26.4
 17, 12 ,      26.6
 17, 13 ,      27.2
 17, 14 ,      26.5
 17, 15 ,      26.3
 17, 16 ,      27.3
 17, 17 ,      26.6
 17, 18 ,      25.9
 17, 19 ,      27.3
 17, 20 ,      27.0
 18,-20 ,      24.3
 18,-19 ,      25.4
 18,-18 ,      24.6
 18,-17 ,      24.5
 18,-16 ,      25.7
 18,-15 ,      25.2
 18,-14 ,      24.0
 18,-13 ,      25.7
 18,-12 ,      25.3
 18,-11 ,      23.5
 18,-10 ,      25.7
 18, -9 ,      25.3
 18, -8 ,      23.1
 18, -7 ,      25.7
 18, -6 ,      25.4
 18, -5 ,      22.6
 18, -4 ,      25.7
 18, -3 ,      26.1
 18, -2 ,      18.3
 18, -1 ,      27.0
 18,  0 ,      27.1
 18,  1 ,      26.2
 18,  2 ,      27.1
 18,  3 ,      27.0
 18,  4 ,      26.2
 18,  5 ,      27.0
 18,  6 ,      27.1
 18,  7 ,      26.4
 18,  8 ,      26.6
 18,  9 ,      27.2
 18, 10 ,      26.4
 18, 11 ,      26.4
 18, 12 ,      27.2
 18, 13 ,      26.5
 18, 14 ,      26.1
 18, 15 ,      27.3
 18, 16 ,      26.6
 18, 17 ,      25.7
 18, 18 ,      27.3
 18, 19 ,      26.6
 18, 20 ,      25.2
