len(N),E,ns
 16, 11   ,     38.4
 16, 12   ,     36.4
 16, 13   ,     38.5
 16, 14   ,     45.3
 16, 15   ,     43.3
 16, 16   ,     42.2
 16, 17   ,     41.1
 16, 18   ,     39.3
 16, 19   ,     37.9
 16, 20   ,     37.2
 17,-20   ,     45.9
 17,-19   ,     50.6
 17,-18   ,     48.5
 17,-17   ,     45.7
 17,-16   ,     46.1
 17,-15   ,     44.4
 17,-14   ,     41.3
 17,-13   ,     41.4
 17,-12   ,     46.4
 17,-11   ,     48.5
 17,-10   ,     47.9
 17, -9   ,     47.5
 17, -8   ,     44.3
 17, -7   ,     43.4
 17, -6   ,     42.5
 17, -5   ,     40.4
 17, -4   ,     47.1
 17, -3   ,     59.5
 17, -2   ,      104
 17, -1   ,     47.0
 17,  0   ,      148
 17,  1   ,     62.6
 17,  2   ,     44.4
 17,  3   ,     42.5
 17,  4   ,     46.3
 17,  5   ,     48.7
 17,  6   ,     48.7
 17,  7   ,     47.3
 17,  8   ,     44.2
 17,  9   ,     45.1
 17, 10   ,     42.6
 17, 11   ,     40.0
 17, 12   ,     45.1
 17, 13   ,     49.4
 17, 14   ,     46.9
 17, 15   ,     46.6
 17, 16   ,     45.5
 17, 17   ,     42.9
 17, 18   ,     42.7
 17, 19   ,     41.4
 17, 20   ,     45.6
 18,-20   ,     50.3
 18,-19   ,     48.3
 18,-18   ,     45.6
 18,-17   ,     46.1
 18,-16   ,     43.9
 18,-15   ,     41.4
 18,-14   ,     40.9
 18,-13   ,     46.2
 18,-12   ,     48.4
 18,-11   ,     47.8
 18,-10   ,     47.1
 18, -9   ,     44.3
 18, -8   ,     43.5
 18, -7   ,     42.5
 18, -6   ,     40.0
 18, -5   ,     47.3
 18, -4   ,     59.3
 18, -3   ,     99.2
 18, -2   ,     49.9
 18, -1   ,      147
 18,  0   ,     62.3
 18,  1   ,     44.0
 18,  2   ,     42.6
 18,  3   ,     46.5
 18,  4   ,     48.5
 18,  5   ,     48.8
 18,  6   ,     46.9
 18,  7   ,     44.3
 18,  8   ,     44.5
 18,  9   ,     42.8
 18, 10   ,     40.0
 18, 11   ,     44.8
 18, 12   ,     49.4
 18, 13   ,     46.8
 18, 14   ,     46.4
 18, 15   ,     45.0
 18, 16   ,     42.9
 18, 17   ,     42.4
 18, 18   ,     41.1
 18, 19   ,     46.1
 18, 20   ,     49.7
