len(N),E,ns
14,-17,85.4
14,-16,84.7
14,-15,86.8
14,-14,86.2
14,-13,85.8
14,-12,86.8
14,-11,86.1
14,-10,85.5
14,-9,87.4
14,-8,86.4
14,-7,85.5
14,-6,88.2
14,-5,86.2
14,-4,85.7
14,-3,88.0
14,-2,87.2
14,-1,86.8
14,0,49.1
14,1,51.8
14,2,57.8
14,3,84.7
14,4,92.2
14,5,97.3
14,6,94.9
14,7,95.5
14,8,95.1
14,9,93.9
14,10,96.1
14,11,94.3
14,12,93.9
14,13,96.3
14,14,95.0
14,15,94.3
14,16,95.8
14,17,95.3
14,18,94.0
14,19,96.4
14,20,95.4
14,21,95.1
14,22,96.1
15,-22,84.0
15,-21,83.0
15,-20,82.1
15,-19,84.0
15,-18,83.4
15,-17,82.4
15,-16,84.0
15,-15,83.5
15,-14,83.1
15,-13,84.6
15,-12,83.5
15,-11,82.9
15,-10,84.9
15,-9,83.8
15,-8,82.6
15,-7,84.7
15,-6,84.3
15,-5,82.8
15,-4,86.0
15,-3,84.6
15,-2,84.0
15,-1,87.0
15,0,50.2
15,1,58.2
15,2,85.8
15,3,89.3
15,4,94.5
15,5,92.7
15,6,94.5
15,7,92.9
15,8,91.8
15,9,93.5
15,10,92.8
15,11,91.7
15,12,93.7
15,13,93.5
15,14,92.0
15,15,94.0
15,16,93.1
15,17,91.9
15,18,94.1
15,19,93.0
15,20,92.1
15,21,94.0
15,22,93.4
16,-22,80.6
16,-21,81.0
16,-20,82.6
16,-19,80.7
16,-18,80.9
16,-17,82.9
16,-16,81.1
16,-15,81.3
16,-14,83.5
16,-13,82.1
16,-12,80.8
16,-11,83.6
16,-10,82.0
16,-9,81.4
16,-8,83.5
16,-7,82.4
16,-6,81.4
16,-5,85.2
16,-4,83.3
16,-3,81.9
16,-2,88.6
16,-1,90.8
16,0,56.0
16,1,81.4
16,2,86.3
16,3,91.7
16,4,90.9
16,5,92.5
16,6,90.2
16,7,90.5
16,8,92.7
16,9,91.3
16,10,90.9
16,11,92.6
16,12,91.5
16,13,90.5
16,14,93.3
16,15,91.1
16,16,90.3
16,17,92.7
16,18,91.4
16,19,90.0
16,20,93.4
16,21,91.5
16,22,90.7
17,-22,84.1
17,-21,85.8
17,-20,84.1
17,-19,84.8
17,-18,85.8
17,-17,84.0
17,-16,84.8
17,-15,87.2
17,-14,85.1
17,-13,84.8
17,-12,87.0
17,-11,85.2
17,-10,84.9
17,-9,87.3
17,-8,85.7
17,-7,85.1
17,-6,87.9
17,-5,86.5
17,-4,85.9
17,-3,89.5
17,-2,89.9
17,-1,67.3
17,0,82.8
17,1,88.4
17,2,94.3
17,3,94.4
17,4,94.9
17,5,93.5
17,6,93.7
17,7,96.0
17,8,93.9
17,9,94.0
17,10,95.5
17,11,93.7
17,12,93.6
17,13,95.6
17,14,93.9
17,15,93.7
17,16,95.2
17,17,94.5
17,18,93.8
17,19,95.6
17,20,94.4
17,21,94.2
17,22,95.5
18,-22,85.9
18,-21,83.8
18,-20,84.7
18,-19,85.9
18,-18,84.3
18,-17,85.0
18,-16,86.8
18,-15,85.5
18,-14,85.0
18,-13,87.3
18,-12,85.4
18,-11,84.9
18,-10,86.9
18,-9,85.7
18,-8,85.1
18,-7,87.7
18,-6,86.2
18,-5,85.5
18,-4,89.9
18,-3,90.2
18,-2,67.1
18,-1,83.1
18,0,88.2
18,1,93.5
18,2,94.8
18,3,94.9
18,4,93.8
18,5,94.4
18,6,95.5
18,7,93.4
18,8,94.2
18,9,95.2
18,10,94.4
18,11,94.6
18,12,95.2
18,13,94.3
18,14,94.2
18,15,95.7
18,16,94.6
18,17,95.4
18,18,95.6
18,19,93.9
18,20,94.2
18,21,96.4
18,22,84.2
