len(N),E,ns
13,1,47.4
13,2,48.8
13,3,54.5
13,4,71.4
13,5,77.6
13,6,89.3
13,7,78.2
13,8,78.8
13,9,80.5
13,10,79.4
13,11,81.8
13,12,80.3
13,13,79.6
13,14,81.7
13,15,80.6
13,16,79.6
13,17,82.3
13,18,80.2
13,19,79.5
13,20,81.5
13,21,80.7
13,22,79.7
14,-22,78.5
14,-21,77.7
14,-20,76.5
14,-19,73.0
14,-18,75.0
14,-17,74.0
14,-16,75.6
14,-15,82.0
14,-14,77.3
14,-13,82.3
14,-12,85.6
14,-11,84.7
14,-10,81.0
14,-9,82.2
14,-8,81.3
14,-7,81.1
14,-6,81.9
14,-5,80.4
14,-4,79.7
14,-3,83.2
14,-2,81.0
14,-1,81.0
14,0,46.2
14,1,47.2
14,2,52.6
14,3,73.9
14,4,75.8
14,5,81.0
14,6,75.8
14,7,76.7
14,8,77.7
14,9,76.4
14,10,78.2
14,11,77.3
14,12,76.1
14,13,78.6
14,14,77.3
14,15,76.9
14,16,78.7
14,17,77.4
14,18,76.4
14,19,78.5
14,20,77.4
14,21,76.8
14,22,78.8
15,-22,80.4
15,-21,79.7
15,-20,76.3
15,-19,77.9
15,-18,77.5
15,-17,79.5
15,-16,86.0
15,-15,81.1
15,-14,86.9
15,-13,90.7
15,-12,89.7
15,-11,83.6
15,-10,84.9
15,-9,84.9
15,-8,83.6
15,-7,85.0
15,-6,83.5
15,-5,82.8
15,-4,85.2
15,-3,85.3
15,-2,84.8
15,-1,85.9
15,0,47.8
15,1,52.5
15,2,76.5
15,3,77.4
15,4,81.7
15,5,78.2
15,6,78.8
15,7,80.0
15,8,79.9
15,9,81.2
15,10,80.2
15,11,80.0
15,12,80.8
15,13,80.3
15,14,79.5
15,15,81.5
15,16,80.3
15,17,79.7
15,18,81.9
15,19,80.4
15,20,79.9
15,21,81.7
15,22,80.7
16,-22,78.5
16,-21,76.2
16,-20,79.2
16,-19,77.2
16,-18,79.8
16,-17,86.0
16,-16,80.4
16,-15,86.4
16,-14,88.7
16,-13,89.3
16,-12,83.7
16,-11,86.5
16,-10,83.8
16,-9,85.6
16,-8,84.8
16,-7,84.6
