len(N),E,ns
12,-22,65.2
12,-21,64.1
12,-20,63.4
12,-19,66.1
12,-18,64.7
12,-17,63.5
12,-16,66.5
12,-15,64.9
12,-14,64.1
12,-13,66.6
12,-12,64.9
12,-11,65.7
12,-10,68.3
12,-9,67.6
12,-8,66.1
12,-7,68.7
12,-6,67.4
12,-5,66.3
12,-4,68.7
12,-3,67.3
12,-2,66.4
12,-1,69.9
12,0,25.3
12,1,26.7
12,2,30.3
12,3,33.3
12,4,41.8
12,5,67.7
12,6,73.5
12,7,75.1
12,8,72.9
12,9,74.5
12,10,72.5
12,11,71.4
12,12,84.9
12,13,72.4
12,14,71.9
12,15,73.9
12,16,72.6
12,17,71.1
12,18,73.8
12,19,72.6
12,20,71.4
12,21,74.1
12,22,73.3
13,-22,60.6
13,-21,58.3
13,-20,61.0
13,-19,59.4
13,-18,58.3
13,-17,60.9
13,-16,59.8
13,-15,58.5
13,-14,60.9
13,-13,59.7
13,-12,59.9
13,-11,63.1
13,-10,61.2
13,-9,60.1
13,-8,62.8
13,-7,61.6
13,-6,60.3
13,-5,63.5
13,-4,61.4
13,-3,60.4
13,-2,63.4
13,-1,62.8
13,0,24.7
13,1,26.6
13,2,29.0
13,3,37.3
13,4,61.6
13,5,70.0
13,6,73.3
13,7,69.4
13,8,70.3
13,9,69.4
13,10,67.6
13,11,70.0
13,12,68.6
13,13,67.5
13,14,70.3
13,15,69.0
13,16,67.8
13,17,70.3
13,18,68.8
13,19,68.0
13,20,70.5
13,21,69.1
13,22,67.7
14,-22,57.3
14,-21,60.0
14,-20,58.4
14,-19,57.7
14,-18,60.1
14,-17,58.6
14,-16,57.8
14,-15,60.0
14,-14,59.2
14,-13,58.4
14,-12,60.9
14,-11,59.7
14,-10,58.7
14,-9,61.4
14,-8,60.0
14,-7,58.8
14,-6,62.2
14,-5,60.1
14,-4,59.1
14,-3,61.9
14,-2,60.6
14,-1,60.9
14,0,25.0
14,1,27.4
14,2,34.4
14,3,61.2
14,4,68.1
14,5,70.7
14,6,67.2
14,7,68.2
14,8,67.3
14,9,66.0
14,10,68.2
14,11,66.7
14,12,65.7
14,13,68.6
14,14,66.9
14,15,65.8
14,16,68.4
14,17,67.2
14,18,66.1
14,19,68.5
14,20,67.3
14,21,66.3
14,22,68.9
15,-22,57.7
15,-21,56.1
15,-20,55.2
15,-19,57.5
15,-18,56.2
15,-17,55.1
15,-16,57.5
15,-15,56.3
15,-14,56.4
15,-13,59.4
15,-12,58.1
15,-11,56.5
15,-10,60.0
15,-9,58.0
15,-8,56.9
15,-7,59.6
15,-6,57.9
15,-5,57.0
15,-4,60.0
15,-3,58.1
15,-2,57.3
15,-1,61.9
15,0,27.1
15,1,33.6
15,2,61.6
15,3,64.3
15,4,67.7
15,5,65.3
15,6,67.3
15,7,65.9
15,8,64.4
15,9,66.5
15,10,65.6
15,11,64.9
15,12,66.7
15,13,65.9
15,14,64.5
15,15,67.2
15,16,65.3
15,17,64.6
15,18,67.3
15,19,65.7
15,20,64.7
15,21,68.1
15,22,65.9
16,-22,54.0
16,-21,53.3
16,-20,55.8
16,-19,63.5
16,-18,53.1
16,-17,56.0
16,-16,54.4
16,-15,54.3
16,-14,57.1
16,-13,55.4
16,-12,54.2
16,-11,57.9
16,-10,55.8
16,-9,54.4
16,-8,57.3
16,-7,55.7
16,-6,54.3
16,-5,58.0
16,-4,56.3
16,-3,54.7
16,-2,60.7
16,-1,63.1
16,0,32.0
16,1,59.0
16,2,61.5
16,3,64.0
16,4,63.2
16,5,64.9
16,6,62.8
16,7,62.2
16,8,64.5
16,9,63.4
16,10,62.1
16,11,64.9
16,12,63.2
16,13,62.0
16,14,65.2
16,15,63.3
16,16,62.3
16,17,65.2
16,18,63.6
16,19,61.6
16,20,65.9
16,21,63.2
16,22,61.9
17,-22,56.6
17,-21,58.5
17,-20,56.9
17,-19,56.8
17,-18,58.7
17,-17,57.4
17,-16,57.7
17,-15,59.7
17,-14,58.2
17,-13,57.9
17,-12,59.8
17,-11,58.2
17,-10,57.6
17,-9,60.0
17,-8,58.6
17,-7,57.8
17,-6,60.4
17,-5,59.0
17,-4,58.6
17,-3,62.0
17,-2,62.8
17,-1,44.0
17,0,61.9
17,1,64.6
17,2,66.9
17,3,66.1
17,4,67.2
17,5,65.4
17,6,65.7
17,7,66.9
17,8,65.9
17,9,65.8
17,10,67.4
17,11,65.3
17,12,65.4
17,13,67.3
17,14,65.9
17,15,65.6
17,16,67.1
17,17,66.4
17,18,65.1
17,19,67.0
17,20,65.9
17,21,65.0
17,22,67.0
18,-22,58.0
18,-21,56.9
18,-20,57.2
18,-19,58.2
18,-18,57.2
18,-17,57.8
18,-16,59.5
18,-15,58.4
18,-14,57.9
18,-13,59.9
18,-12,58.5
18,-11,58.0
18,-10,59.9
18,-9,58.7
18,-8,57.5
18,-7,60.3
18,-6,59.2
18,-5,58.1
18,-4,61.8
18,-3,63.1
18,-2,43.6
18,-1,61.9
18,0,64.5
18,1,65.4
18,2,66.3
18,3,66.9
18,4,65.6
18,5,65.7
18,6,66.8
18,7,65.3
18,8,65.3
18,9,66.5
18,10,66.2
18,11,65.4
18,12,66.6
18,13,66.0
18,14,65.7
18,15,66.4
18,16,65.8
18,17,65.7
18,18,67.2
18,19,66.1
18,20,65.2
18,21,67.2
18,22,56.0
